Jugador,Edad,Origen Equipo,Origen Categoria,Destino Equipo,Destino Categoria,Posición,Año,Fecha,Mercado,Coste,Plus Jugador,Tipología,Plus Teórica,+/- ELO,Valor Mercado TM,Temp.,Coste/Min (K. €),Rdt. por coste,Min. jugados global,Rdt. 1 temporada,Rdt. global
Pablo Fornals,28,West Ham,Premier League,Real Betis,Primera División,CAM,2024,2024-02-01,Invierno,8,-,Fichaje,9,1,17,1,6.9,0.4,1155,Bueno,-
Cédric Bakambu,33,Galatasaray SK,Liga Turca,Real Betis,Primera División,ST,2024,2024-02-01,Invierno,5,-,Fichaje,0,-1,2.8,1,20.8,-0,240,Regular,-
Chimy Ávila,30,Osasuna,Primera División,Real Betis,Primera División,ST,2024,2024-02-01,Invierno,4,-,Fichaje,0,1,3.5,1,13.3,0.1,301,Regular,-
Theodor Corbeanu,22,Wolves Sub 21,Premier League 2 Division One,Granada,Primera División,RW,2024,2024-02-01,Invierno,1.5,-,Fichaje,0.2,0,1.7,1,7.7,0,195,Malo,-
Kamil Jóźwiak,26,Charlotte FC,MLS - Liga USA,Granada,Primera División,LW,2024,2024-02-01,Invierno,0,-,Fichaje,2.5,1,2.5,1,0,0,573,Regular,-
Tadeo Allende,25,Godoy Cruz,Liga Profesional Argentina,Celta,Primera División,RW,2024,2024-01-31,Invierno,4.5,-,Fichaje,0,1,4.5,1,13.6,0.1,330,Malo,-
Marc Martínez,34,FC Cartagena,Segunda División,Granada,Primera División,GK,2024,2024-01-28,Invierno,0.2,-,Fichaje,0.3,0,0.4,1,0.6,0,270,Malo,-
Arthur Vermeeren,19,Antwerp,Liga Belga,Atlético,Primera División,CM,2024,2024-01-26,Invierno,18,-,Fichaje,12,-5,30,1,111.8,-0.5,161,Malo,-
Adama Boiro,22,Osasuna Promesas,Primera Federación,Athletic,Primera División,LB,2024,2024-01-24,Invierno,2,-,Fichaje,0,55,0.05,0,0,0,0,-,-
Horaţiu Moldovan,26,FC Rapid Bucuresti,Liga Rumana,Atlético,Primera División,GK,2024,2024-01-24,Invierno,0.8,-,Fichaje,1.7,-6,2.5,1,0,0,0,Malo,-
Sheraldo Becker,29,Union Berlin,Bundesliga,Real Sociedad,Primera División,RW,2024,2024-01-18,Invierno,3,-,Fichaje,7,0,10,1,3.1,0,955,Regular,-
Martin Hongla,26,Hellas Verona,Serie A,Granada,Primera División,DM,2024,2024-01-12,Invierno,2.7,-,Fichaje,0.1,31,2.8,1,4.8,5,560,-,-
Yellu Santiago,20,Valencia Mestalla,Segunda Federación,Getafe,Primera División,CM,2024,2024-01-10,Invierno,0,-,Fichaje,0.1,14,0.1,1,0,0,658,Regular,-
Vitor Roque,19,Athletico Paranaense,Liga Brasileña,Barcelona,Primera División,ST,2024,2024-01-01,Invierno,40,-,Fichaje,0,-5,18,1,113.3,-0.4,353,Malo,-
Carlos Vicente,25,Racing Ferrol,Segunda División,Deportivo Alavés,Primera División,RW,2024,2024-01-01,Invierno,0.6,-,Fichaje,1.4,3,2,1,0.5,2.3,1208,Bueno,-
Johnny Cardoso,22,Internacional,Liga Brasileña,Real Betis,Primera División,CM,2024,2024-01-01,Invierno,6,-,Fichaje,4,0,10,1,4,0,1512,Bueno,-
César Montes,27,Espanyol,Segunda División,Almería,Primera División,CB,2023,2023-09-01,Verano,14,0,Fichaje,0,-4,3,1,7.8,-0.2,1797,Bueno,-
Rominigue Kouamé,27,Troyes,Ligue 2,Cádiz,Primera División,CM,2023,2023-09-01,Verano,2.5,-,Fichaje,0,0,2.5,1,2.9,0,853,Regular,-
Ez Abde,22,Barcelona,Primera División,Real Betis,Primera División,LW,2023,2023-09-01,Verano,7.5,0,Fichaje,4.5,26,12,1,4.8,18,1561,Regular,-
Mihailo Ristić,28,Benfica,Liga Portuguesa,Celta,Primera División,LB,2023,2023-09-01,Verano,1.5,-,Fichaje,0,3,1.2,1,1.4,0.4,1052,Regular,-
Álvaro Odriozola,28,Real Madrid,Primera División,Real Sociedad,Primera División,RB,2023,2023-09-01,Verano,3,-,Fichaje,0,9,3,1,4.2,1.6,721,-,-
Portu,32,Getafe,Primera División,Girona,Primera División,RW,2023,2023-09-01,Verano,1.5,0,Fichaje,2,6,3.5,1,1,6.4,1540,-,-
Jhon Solis,19,At. Nacional,Clausura Colombia,Girona,Primera División,CM,2023,2023-09-01,Verano,6,-,Fichaje,0,3,3,1,8.7,0.4,689,Malo,-
Lucas Boyé,28,Elche,Segunda División,Granada,Primera División,ST,2023,2023-08-30,Verano,7,0,Fichaje,0,7,7,1,2.7,2.6,2554,Bueno,-
Anastasios Douvikas,24,Utrecht,Eredivisie,Celta,Primera División,ST,2023,2023-08-28,Verano,12,-,Fichaje,0,0,6,1,9,0,1333,Regular,-
Andrei Rațiu,26,Huesca,Segunda División,Rayo Vallecano,Primera División,RB,2023,2023-08-26,Verano,0.5,-,Fichaje,1,0,1.5,1,0.5,0,987,Regular,-
Dodi Lukebakio,26,Hertha BSC,2. Bundesliga,Sevilla,Primera División,RW,2023,2023-08-24,Verano,10,-,Fichaje,5,-3,15,1,7.3,-1.5,1371,Regular,-
Samuel Omorodion,20,Granada,Primera División,Atlético,Primera División,ST,2023,2023-08-21,Verano,6,-,Fichaje,34,70,40,0,0,0,0,-,-
Sergi Canós,27,Brentford,Premier League,Valencia,Primera División,LW,2023,2023-08-20,Verano,0.3,-,Fichaje,2.3,0,2.5,1,0.2,0,1456,Regular,-
Nahuel Tenaglia,28,Talleres Córdoba,Liga Profesional Argentina,Deportivo Alavés,Primera División,RB,2023,2023-08-20,Verano,1,-,Fichaje,0.8,1,1.8,1,0.7,0.6,1475,-,-
Arsen Zakharyan,21,Dinamo Moskva,Premier League Rusia,Real Sociedad,Primera División,CM,2023,2023-08-19,Verano,13,-,Fichaje,2,0,15,1,7,0,1862,Regular,-
Dani Cárdenas,27,Levante,Segunda División,Rayo Vallecano,Primera División,GK,2023,2023-08-18,Verano,1.3,-,Fichaje,0.5,-12,1.8,1,2.9,-1,450,Malo,-
Sergio Camello,23,Atlético,Primera División,Rayo Vallecano,Primera División,ST,2023,2023-08-17,Verano,5,-,Fichaje,0,7,3,1,2.9,1.7,1739,-,-
Jorge De Frutos,27,Levante,Segunda División,Rayo Vallecano,Primera División,RW,2023,2023-08-17,Verano,8,0,Fichaje,0,9,4,1,4.3,2.2,1857,-,-
Sory Kaba,28,Midtjylland,Superliga Danesa,Las Palmas,Primera División,ST,2023,2023-08-17,Verano,1.5,-,Fichaje,0.3,-7,1.8,1,1.6,-2,945,Regular,-
Ibrahima Koné,25,Lorient,Ligue 1,Almería,Primera División,ST,2023,2023-08-16,Verano,7.5,-,Fichaje,0,0,2.5,1,27.4,0,274,Malo,-
Sergi Darder,30,Espanyol,Segunda División,Mallorca,Primera División,CM,2023,2023-08-11,Verano,8,-,Fichaje,0,0,6,1,3.2,0,2471,Bueno,-
Mika Mármol,23,FC Andorra,Segunda División,Las Palmas,Primera División,CB,2023,2023-08-11,Verano,1.9,-,Fichaje,8,5,8,1,0.6,9.1,3181,Bueno,-
Andoni Gorosabel,27,Real Sociedad,Primera División,Deportivo Alavés,Primera División,RB,2023,2023-08-11,Verano,0.5,0.5,Fichaje,2,4,2.5,1,0.2,8.9,2874,Bueno,-
Sergi Altimira,22,Getafe,Primera División,Real Betis,Primera División,CM,2023,2023-08-11,Verano,2,-,Fichaje,1,5,3,1,2.5,1.5,795,Malo,-
Samú Costa,23,Almería,Primera División,Mallorca,Primera División,CM,2023,2023-08-10,Verano,3,-,Fichaje,5,3,8,1,1.2,3.7,2599,Regular,-
Carl Starfelt,29,Celtic,Liga Escocia,Celta,Primera División,CB,2023,2023-08-10,Verano,5,-,Fichaje,1,2,6,1,2,0.9,2491,Bueno,-
Raúl García,23,Real Betis,Primera División,Osasuna,Primera División,ST,2023,2023-08-10,Verano,6.5,0,Fichaje,0,18,3,1,4.4,3.9,1472,Regular,-
Marc Pubill,21,Levante,Segunda División,Almería,Primera División,RB,2023,2023-08-09,Verano,5,-,Fichaje,0,9,3,1,2.6,1.5,1889,Bueno,-
Sergio Arribas,22,RM Castilla,Primera Federación,Almería,Primera División,ST,2023,2023-08-09,Verano,6,-,Fichaje,2,1,8,1,2.7,0.6,2187,Regular,-
Artem Dovbyk,27,Dnipro-1,Liga Ucraniana,Girona,Primera División,ST,2023,2023-08-06,Verano,7.8,-,Fichaje,22.3,10,30,1,2.9,18.1,2680,Bueno,-
Dion Lopy,22,Stade de Reims,Ligue 1,Almería,Primera División,CM,2023,2023-08-06,Verano,8,-,Fichaje,0,3,6,1,3.8,0.9,2100,Regular,-
Djibril Sow,27,Eintracht Frankfurt,Bundesliga,Sevilla,Primera División,CM,2023,2023-08-04,Verano,10,-,Fichaje,2,-2,12,1,4.8,-1,2095,Regular,-
Gonzalo Villar,26,Roma,Serie A,Granada,Primera División,CM,2023,2023-08-04,Verano,1.8,-,Fichaje,1,4,2.8,1,1,2.7,1845,Regular,-
Cyle Larin,29,Real Valladolid,Segunda División,Mallorca,Primera División,ST,2023,2023-08-03,Verano,7.5,-,Fichaje,0,2,5,1,3.4,0.7,2226,Regular,-
Florian Lejeune,33,Deportivo Alavés,Primera División,Rayo Vallecano,Primera División,CB,2023,2023-07-28,Verano,2.5,0,Fichaje,1,14,3.5,1,0.8,8.9,3328,-,-
Alexander Sørloth,28,RB Leipzig,Bundesliga,Villarreal,Primera División,ST,2023,2023-07-25,Verano,10,-,Fichaje,5,6,15,1,3.4,4.4,2924,Bueno,-
Blanco,23,Real Madrid,Primera División,Deportivo Alavés,Primera División,CM,2023,2023-07-25,Verano,4,-,Fichaje,1,18,5,1,1.6,9.7,2548,-,-
Aarón Escandell,28,FC Cartagena,Segunda División,Las Palmas,Primera División,GK,2023,2023-07-24,Verano,0.4,-,Fichaje,0.6,-11,1,1,0.9,-1.7,422,Malo,-
Iván Martín,25,Villarreal,Primera División,Girona,Primera División,CM,2023,2023-07-22,Verano,2,-,Fichaje,13,20,15,1,0.7,72,2936,-,-
