,Jugador,img_player
0,Declan Rice,https://img.a.transfermarkt.technology/portrait/big/357662-1687962936.jpg?lm=1
1,Moisés Caicedo,https://img.a.transfermarkt.technology/portrait/big/687626-1660729724.jpg?lm=1
2,J. Bellingham,https://img.a.transfermarkt.technology/portrait/big/581678-1693987944.jpg?lm=1
3,Harry Kane,https://img.a.transfermarkt.technology/portrait/big/132098-1700211169.jpg?lm=1
4,Kolo Muani,https://img.a.transfermarkt.technology/portrait/big/487969-1718697120.jpg?lm=1
5,Joško Gvardiol,https://img.a.transfermarkt.technology/portrait/big/475959-1713391602.jpg?lm=1
6,Kai Havertz,https://img.a.transfermarkt.technology/portrait/big/309400-1683903902.jpg?lm=1
7,R. Højlund,https://img.a.transfermarkt.technology/portrait/big/610442-1699471458.jpg?lm=1
8,D. Szoboszlai,https://img.a.transfermarkt.technology/portrait/big/451276-1700209677.jpg?lm=1
9,Gonçalo Ramos,https://img.a.transfermarkt.technology/portrait/big/550550-1681906158.jpg?lm=1
10,Mason Mount,https://img.a.transfermarkt.technology/portrait/big/346483-1683291495.jpg?lm=1
11,Sandro Tonali,https://img.a.transfermarkt.technology/portrait/big/397033-1688389270.jpg?lm=1
12,Roméo Lavia,https://img.a.transfermarkt.technology/portrait/big/628451-1683898478.jpg?lm=1
13,Matheus Nunes,https://img.a.transfermarkt.technology/portrait/big/601883-1693561106.jpg?lm=1
14,Jérémy Doku,https://img.a.transfermarkt.technology/portrait/big/486049-1666699113.jpg?lm=1
15,C. Nkunku,https://img.a.transfermarkt.technology/portrait/big/344381-1663686834.jpg?lm=1
16,M. Ugarte,https://img.a.transfermarkt.technology/portrait/big/351478-1599987229.jpg?lm=1
17,B. Johnson,https://img.a.transfermarkt.technology/portrait/big/470607-1692959021.jpg?lm=1
18,M. Diaby,https://img.a.transfermarkt.technology/portrait/big/395516-1642608355.jpg?lm=1
19,André Onana,https://img.a.transfermarkt.technology/portrait/big/234509-1686929812.jpg?lm=1
20,O. Dembélé,https://img.a.transfermarkt.technology/portrait/big/288230-1684148641.jpg?lm=1
21,Matheus Cunha,https://img.a.transfermarkt.technology/portrait/big/517894-1696599737.jpg?lm=1
22,Min-Jae Kim,https://img.a.transfermarkt.technology/portrait/big/503482-1700208062.jpg?lm=1
23,Cole Palmer,https://img.a.transfermarkt.technology/portrait/big/568177-1712320986.jpg?lm=1
24,J. Maddison,https://img.a.transfermarkt.technology/portrait/big/294057-1687982662.jpg?lm=1
25,Lucas Hernández,https://img.a.transfermarkt.technology/portrait/big/281963-1667830435.jpg?lm=1
26,Axel Disasi,https://img.a.transfermarkt.technology/portrait/big/386047-1614110226.jpg?lm=1
27,B. Barcola,https://img.a.transfermarkt.technology/portrait/big/708265-1653406915.jpg?lm=1
28,Harvey Barnes,https://img.a.transfermarkt.technology/portrait/big/398065-1700650664.jpg?lm=1
29,M. Kudus,https://img.a.transfermarkt.technology/portrait/big/543499-1668429218.jpg?lm=1
30,A. Mac Allister,https://img.a.transfermarkt.technology/portrait/big/534033-1669835342.jpg?lm=1
31,Vitor Roque,https://img.a.transfermarkt.technology/portrait/big/5807-1589802559.jpg?lm=1
32,Jurriën Timber,https://img.a.transfermarkt.technology/portrait/big/420243-1702413077.jpg?lm=1
33,Pedro Porro,https://img.a.transfermarkt.technology/portrait/big/553875-1602774481.jpg?lm=1
34,R. Gravenberch,https://img.a.transfermarkt.technology/portrait/big/478573-1718097194.jpg?lm=1
35,M. Van De Ven,https://img.a.transfermarkt.technology/portrait/big/3109-1719152556.jpg?lm=1
36,Loïs Openda,https://img.a.transfermarkt.technology/portrait/big/368887-1713944805.jpg?lm=1
37,Edson Álvarez,https://img.a.transfermarkt.technology/portrait/big/401356-1698343328.jpeg?lm=1
38,T. Livramento,https://img.a.transfermarkt.technology/portrait/big/503981-1699383321.jpg?lm=1
39,N. Jackson,https://img.a.transfermarkt.technology/portrait/big/74418-1447152748.jpg?lm=1
40,M. Locatelli,https://img.a.transfermarkt.technology/portrait/big/265088-1630490000.jpg?lm=1
41,I. Sangaré,https://img.a.transfermarkt.technology/portrait/big/375885-1700738495.jpg?lm=1
42,J. Ward-Prowse,https://img.a.transfermarkt.technology/portrait/big/181579-1684751045.jpg?lm=1
43,João Pedro,https://img.a.transfermarkt.technology/portrait/big/182712-1675080937.jpg?lm=1
44,Pau Torres,https://img.a.transfermarkt.technology/portrait/big/399776-1691079911.jpg?lm=1
45,Elye Wahi,https://img.a.transfermarkt.technology/portrait/big/659542-1692791720.jpg?lm=1
46,F. Balogun,https://img.a.transfermarkt.technology/portrait/big/503770-1672838317.jpg?lm=1
47,B. Pavard,https://img.a.transfermarkt.technology/portrait/big/353366-1713819215.jpg?lm=1
48,Moise Kean,https://img.a.transfermarkt.technology/portrait/big/364135-1663577320.jpg?lm=1
49,Felix Nmecha,https://img.a.transfermarkt.technology/portrait/big/406640-1709560961.jpg?lm=1
50,D. Kulusevski,https://img.a.transfermarkt.technology/portrait/big/431755-1684943454.jpg?lm=1
